checking_account,duration_months,credit_history,purpose,credit_amount,savings_account,employment,installment_rate,sex,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,credit_risk
0_to_200,18,existing_paid,car_used,855,<100,4_to_7yr,2,male,none,4,unknown,37,none,own,2,skilled,1,no,yes,good
<0,36,no_credits,car_used,1017,<100,unemployed,4,female,none,3,real_estate,32,bank,own,2,skilled,1,no,yes,bad
>200,18,existing_paid,furniture,867,<100,unemployed,3,female,none,2,real_estate,19,none,own,1,skilled,1,no,yes,bad
<0,18,critical,radio_tv,692,<100,<1yr,3,male,none,2,car,42,none,own,1,highly_skilled,1,no,yes,good
no_checking,12,existing_paid,car_used,12237,<100,>7yr,2,male,none,4,car,42,stores,free,1,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,5992,<100,>7yr,4,male,none,1,unknown,47,none,own,1,skilled,1,no,yes,good
no_checking,18,all_paid,car_used,10181,unknown,<1yr,4,male,none,1,real_estate,45,none,own,1,skilled,1,yes,yes,good
0_to_200,24,existing_paid,car_new,601,100_to_500,<1yr,2,female,none,4,real_estate,25,none,own,1,skilled,1,yes,yes,bad
>200,36,existing_paid,car_new,1927,<100,1_to_4yr,1,male,none,3,savings_insurance,35,none,own,1,skilled,1,yes,yes,good
0_to_200,12,critical,car_new,564,<100,1_to_4yr,1,female,none,2,real_estate,46,none,own,1,skilled,1,no,yes,bad
<0,12,delayed,education,966,500_to_1000,1_to_4yr,1,male,none,2,real_estate,40,none,own,1,skilled,1,no,yes,good
<0,48,critical,other,791,<100,<1yr,3,female,none,4,real_estate,34,none,own,3,skilled,1,yes,yes,bad
no_checking,12,existing_paid,furniture,5517,<100,>7yr,4,female,none,4,real_estate,31,none,own,3,unskilled_nonres,1,no,no,good
no_checking,18,existing_paid,radio_tv,1265,<100,1_to_4yr,3,male,none,4,real_estate,21,none,own,1,skilled,1,yes,yes,good
<0,48,critical,car_new,4729,<100,>7yr,4,male,none,3,unknown,24,none,own,1,skilled,1,no,yes,good
0_to_200,12,existing_paid,radio_tv,3114,unknown,4_to_7yr,3,male,none,3,real_estate,47,none,own,1,unskilled_nonres,2,yes,yes,bad
0_to_200,12,critical,car_new,14375,>1000,1_to_4yr,4,male,none,4,savings_insurance,35,none,rent,1,skilled,1,no,yes,bad
no_checking,24,critical,radio_tv,477,unknown,>7yr,4,male,none,4,unknown,43,none,own,2,skilled,1,no,yes,good
<0,18,existing_paid,business,5615,<100,>7yr,2,male,none,2,car,36,none,own,1,skilled,2,no,yes,good
0_to_200,24,critical,car_new,5073,<100,1_to_4yr,3,male,none,4,car,36,none,own,2,unskilled_res,1,yes,yes,good
<0,48,existing_paid,radio_tv,752,unknown,1_to_4yr,3,male,none,2,car,46,none,own,3,skilled,1,no,yes,good
<0,12,critical,car_new,4475,500_to_1000,>7yr,1,male,none,2,car,30,none,own,1,skilled,1,yes,yes,good
0_to_200,24,critical,furniture,2446,100_to_500,<1yr,3,male,none,3,car,37,none,own,1,skilled,1,no,yes,good
